id,titles,authors,info,fullurl,cultural_group
0,Esperanza Rising (Paperback),Pam Mu�oz Ryan,"Pam Mu�oz Ryan is an American writer for children and young adults, particularly in the multicultural genre. Muñoz Ryan was born in Bakersfield, California, and is half Mexican with Basque, Italian, and Oklahoman cultural influences.Muñoz Ryan has written over forty books for young people, including picture books, early readers, and middle grade and young adult novels. She has been the author recipient of the NEA's Human and Civil Rights Award, the Virginia Hamilton Literary Award for multicultural literature, and the Ludington Award for body of work. She is also the 2018 U.S. nominee for the International Hans Christian Andersen Award. Her novel Esperanza Rising was commissioned as a play by the Minneapolis Children's Theatre and has been performed in venues around the US including the Goodman Theatre in Chicago, and the Cutler Majestic Theatre in Boston.",https://en.wikipedia.org/wiki/Pam_Mu%C3%B1oz_Ryan,Hispanic
1,Henry's Freedom Box: A True Story from the Underground Railroad (Hardcover),Ellen Levine,"Ellen Levine is an American media executive. From 2006 to 2016, she served as the Editorial Director of Hearst Magazines, and has served as a consultant to Hearst since January 2017. She is responsible for the launches of numerous successful magazines, including Elle, O, The Oprah Magazine, Esquire, Seventeen, and Food Network Magazine.",https://en.wikipedia.org/wiki/Ellen_Levine,Black/African-American
2,The Name Jar (Paperback),Yangsook Choi,"Yangsook Choi: No information available.
",No URL available,East Asian
3,American Born Chinese (Paperback),Gene Luen Yang,"Gene Luen Yang ( born August 9, 1973) is an Asian-American cartoonist. He is a frequent lecturer on the subjects of graphic novels and comics, at comic book conventions and universities, schools, and libraries. In addition, he was the Director of Information Services and taught computer science at Bishop O'Dowd High School in Oakland, California. In 2012, Yang joined the faculty at Hamline University, as a part of the Low-Residency Master of Fine Arts in Writing for Children and Young Adults (MFAC) program. In 2016, the U.S. Library of Congress named him Ambassador for Young People's Literature. That year he became the third graphic novelist, alongside Lauren Redniss, to receive the MacArthur Fellowship.",https://en.wikipedia.org/wiki/Gene_Luen_Yang,East Asian
4,Brown Girl Dreaming (Hardcover),Jacqueline Woodson,"Jacqueline Woodson (born February 12, 1963) is an American writer of books for children and adolescents. She is best known for Miracle's Boys, and her Newbery Honor-winning titles Brown Girl Dreaming, After Tupac and D Foster, Feathers, and Show Way. After serving as the Young People's Poet Laureate from 2015 to 2017, she was named the National Ambassador for Young People's Literature, by the Library of Congress, for 2018 to 2019.",https://en.wikipedia.org/wiki/Jacqueline_Woodson,Black/African-American
5,Too Many Tamales (Paperback),Gary Soto,"Gary Anthony Soto (born April 12, 1952) is an American poet, novelist, and memoirist.",https://en.wikipedia.org/wiki/Gary_Soto,Hispanic
6,Grandfather's Journey (Hardcover),Allen Say,"Allen Say (born James Allen Koichi Moriwaki Seii in 1937; surname written Seii (清井) in Japanese) is an Asian American writer and illustrator. He is best known for Grandfather's Journey, a children's picture book detailing his grandfather's voyage from Japan to the United States and back again, which won the 1994 Caldecott Medal for illustration.  This story is autobiographical and relates to Say's constant moving during his childhood. His work mainly focuses on Japanese and Japanese American characters and their stories, and several works have autobiographical elements.",https://en.wikipedia.org/wiki/Allen_Say,East Asian
7,The Absolutely True Diary of a Part-Time Indian (Hardcover),Sherman Alexie,"Sherman Joseph Alexie, Jr. (born October 7, 1966) is a Spokane-Coeur d'Alene-American novelist, short story writer, poet, and filmmaker.  His writings draw on his experiences as an Indigenous American with ancestry from several tribes. He grew up on the Spokane Indian Reservation and now lives in Seattle, Washington.His best-known book is The Lone Ranger and Tonto Fistfight in Heaven (1993), a collection of short stories. It was adapted as the film Smoke Signals (1998), for which he also wrote the screenplay.
His first novel Reservation Blues received one of the fifteen 1996 American Book Awards.
His first young adult novel, The Absolutely True Diary of a Part-Time Indian (2007), is a semi-autobiographical novel that won the 2007 U.S. National Book Award for Young People's Literature and the Odyssey Award as best 2008 audiobook for young people (read by Alexie). His 2009 collection of short stories and poems, War Dances, won the 2010 PEN/Faulkner Award for Fiction.Alexie is the guest editor of the 2015 Best American Poetry.",https://en.wikipedia.org/wiki/Sherman_Alexie,Native American
8,The Other Side (Hardcover),Jacqueline Woodson,"Jacqueline Woodson (born February 12, 1963) is an American writer of books for children and adolescents. She is best known for Miracle's Boys, and her Newbery Honor-winning titles Brown Girl Dreaming, After Tupac and D Foster, Feathers, and Show Way. After serving as the Young People's Poet Laureate from 2015 to 2017, she was named the National Ambassador for Young People's Literature, by the Library of Congress, for 2018 to 2019.",https://en.wikipedia.org/wiki/Jacqueline_Woodson,Black/African-American
9,Lon Po Po: A Red-Riding Hood Story from China (Hardcover),Ed Young,Ed Tse-chun Young is a Chinese-born American illustrator and writer of children's picture books. He won one Caldecott Medal for the year's best American picture book and for his lifetime contribution as a children's illustrator he was twice the U.S. nominee for the Hans Christian Andersen Award.,https://en.wikipedia.org/wiki/Ed_Young_(illustrator),East Asian
10,Last Stop on Market Street (Hardcover),Matt de la Pena,Matthew de la Pena is an American writer of children's books who specializes in novels for young adults. He won the Newbery Medal in 2016 for his book Last Stop on Market Street.,https://en.wikipedia.org/wiki/Matt_de_la_Pe%C3%B1a,Hispanic
11,Inside Out & Back Again (Hardcover),Thanhha Lai,"Thanhha Lai (born 1965) is a Vietnam-born American writer of children's literature. She won the 2011 National Book Award for Young People's Literature
and a Newbery Honor for her debut novel, Inside Out & Back Again, published by HarperCollins.",https://en.wikipedia.org/wiki/Thanhha_Lai,East Asian
12,A Long Walk to Water: Based on a True Story (Hardcover),Linda Sue Park,"Linda Sue Park (born March 25, 1960) is an American with Korean descent author who loves literature. Park published her first novel, Seesaw Girl, in 1999. She has written six children's novels and five picture books. Park's work achieved prominence when she received the prestigious 2002 Newbery Medal for her novel A Single Shard. She has written the ninth book in the 39 Clues series, Storm Warning, published on May 25, 2010.",https://en.wikipedia.org/wiki/Linda_Sue_Park,Black/African-American
13,Where the Mountain Meets the Moon (Hardcover),Grace Lin,"Grace Lin (born May 17, 1974) is an American children's writer and illustrator.",https://en.wikipedia.org/wiki/Grace_Lin,East Asian
14,The Patchwork Quilt (Hardcover),Valerie Flournoy,"Valerie Flournoy: No information available.
",No URL available,Western European
15,Smoky Night (Paperback),Eve Bunting,"Anne Evelyn Bunting  (born December 19, 1928), also known as Eve Bunting, is a Northern Ireland-born American writer of more than 250 books. Her work covers a broad array of subjects and includes fiction and non-fiction books. Her novels are primarily aimed at children and young adults, but she has also written the text for picture books. While many of her books are set in Northern Ireland, where she grew up, her topics and settings range from Thanksgiving to riots in Los Angeles. Bunting's first book, The Two Giants, was published in 1971. Due to the popularity of her books with children, she has been listed as one of the Educational Paperback Association's top 100 authors.",https://en.wikipedia.org/wiki/Eve_Bunting,Black/African-American
16,"One Crazy Summer (Gaither Sisters, #1)",Rita Williams-Garcia,"Rita Williams-Garcia (born 1957) is an American writer of young-adult novels.
She won the 2011 Newbery Honor Award, Coretta Scott King Award, and Scott O'Dell Award for Historical Fiction for her book, One Crazy Summer. She won the PEN/Norma Klein Award. Her 2013 book, fart boy and the thot, was a Junior Literary Guild selection, a New York Times Editors Choice Book, and won the Coretta Scott King Award in 2014. In 2016 her book Gone Crazy in Alabama won the Coretta Scott King Award. In 2017, her book Clayton Byrd Has Gone Underground is a finalist for the National Book Award for young people's literature.",https://en.wikipedia.org/wiki/Rita_Williams-Garcia,Black/African-American
17,Day of Tears (Paperback),Julius Lester,"Julius Bernard Lester (January 27, 1939 - January 18, 2018) was an American writer of books for children and adults and an academic who taught for 32 years (1971-2003) at the University of Massachusetts Amherst. Lester was also known as a civil rights activist, a photographer, and a musician who recorded two albums of folk music and original songs.",https://en.wikipedia.org/wiki/Julius_Lester,Other
18,Whoever You Are (Paperback),Mem Fox,"Merrion Frances ""Mem"" Fox, AM (born Merrion Frances Partridge on 5 March 1946) is an Australian writer of children's books and an educationalist specialising in literacy. Fox has been semi-retired since 1996, but still give seminars and lives in Adelaide, South Australia.",https://en.wikipedia.org/wiki/Mem_Fox,Black/African-American
19,"Bud, Not Buddy (Hardcover)",Christopher Paul Curtis,"Christopher Paul Curtis (born May 10, 1953) is an American writer of children's books. He is known for the Newbery Medal-winning Bud, Not Buddy and The Watsons Go to Birmingham 1963. The latter was adapted for a TV movie of the same name, which aired on the Hallmark Channel in 2013.",https://en.wikipedia.org/wiki/Christopher_Paul_Curtis,Hispanic
20,Abuela (Paperback),Arthur Dorros,"Arthur Dorros (born 1950) is an author and illustrator of children's books. He attended Pacific Oaks College and graduated from the University of Wisconsin.Arthur Dorros was born in Washington, D.C, 1950.. He is an American author of children's books. He graduated from the University of Wisconsin and learned to speak Spanish while traveling in Latin America. He has also worked as a carpenter, cook, draftsman, photographer and teacher.Though Dorros says he always loved reading, he only decided to author children's books in his thirties, because he thought ""it would be fun to put all those interests together and make children's picture books."" Dorros has written many fiction and nonfiction picture books including Abuela, an ALA Notable Book, Julio's Magic, a CLASP Americas Award Commended Title, Feel the Wind, and Ant Cities. He's also received Orbis Pictus, the Parents' Choice, Notable Children's Trade Social Studies Books and the Pura Belpré Honor Awards for his works. Several of his works are bilingual.He currently lives in Seattle, Washington.",https://en.wikipedia.org/wiki/Arthur_Dorros,Hispanic
21,The House on Mango Street (Paperback),Sandra Cisneros,"Sandra Cisneros (born December 20, 1954) is a Mexican-American writer. She is best known for her first novel The House on Mango Street (1984) and her subsequent short story collection Woman Hollering Creek and Other Stories (1991). Her work experiments with literary forms and investigates emerging subject positions, which Cisneros herself attributes to growing up in a context of cultural hybridity and economic inequality that endowed her with unique stories to tell. She is the recipient of numerous awards including a National Endowment for the Arts Fellowship, was awarded one of 25 new Ford Foundation Art of Change fellowships in 2017, and is regarded as a key figure in Chicana literature.Cisneros's early life provided many experiences she would later draw on as a writer: she grew up as the only daughter in a family of six brothers, which often made her feel isolated, and the constant migration of her family between Mexico and the United States instilled in her the sense of ""always straddling two countries ... but not belonging to either culture."" Cisneros's work deals with the formation of Chicana identity, exploring the challenges of being caught between Mexican and Anglo-American cultures, facing the misogynist attitudes present in both these cultures, and experiencing poverty. For her insightful social critique and powerful prose style, Cisneros has achieved recognition far beyond Chicano and Latino communities, to the extent that The House on Mango Street has been translated worldwide and is taught in American classrooms as a coming-of-age novel.Cisneros has held a variety of professional positions, working as a teacher, a counselor, a college recruiter, a poet-in-the-schools, and an arts administrator, and has maintained a strong commitment to community and literary causes. In 1998 she established the Macondo Writers Workshop, which provides socially conscious workshops for writers, and in 2000 she founded the Alfredo Cisneros Del Moral Foundation, which awards talented writers connected to Texas. Cisneros currently resides in Mexico.",https://en.wikipedia.org/wiki/Sandra_Cisneros,South Asian
22,The Kite Runner (Paperback),Khaled Hosseini,"Khaled Hosseini (Persian: born March 4, 1965) is an Afghan-American novelist and physician. After graduating from college, he worked as a doctor in California, a predicament that he likened to ""an arranged marriage."" He has published three novels, most notably his 2003 debut The Kite Runner, all of which are at least partially set in Afghanistan and feature an Afghan as the protagonist. Following the success of The Kite Runner he retired from medicine to write full-time.
Hosseini was born in Kabul, Afghanistan. His father worked as a diplomat, and when Hosseini was 11 years old, the family moved to France; four years later, they applied for asylum in the United States, where he later became a citizen. Hosseini did not return to Afghanistan until 2001 at the age of 36, where he ""felt like a tourist in [his] own country"". In interviews about the experience, he admitted to sometimes feeling survivor's guilt for having been able to leave the country before the American invasion and subsequent wars.
All three of his novels became bestsellers: The Kite Runner (2003) spent 101 weeks on The New York Times Best Seller list, four of them at number one. A Thousand Splendid Suns (2007) was a Times Best Seller for 103 weeks, 15 at number one. And the Mountains Echoed (2013) debuted near the top of the Times list and remained on it for 33 weeks until January 2014.",https://en.wikipedia.org/wiki/Khaled_Hosseini,Black/African-American
23,The Watsons Go to Birmingham - 1963 (Paperback),Christopher Paul Curtis,"Christopher Paul Curtis (born May 10, 1953) is an American writer of children's books. He is known for the Newbery Medal-winning Bud, Not Buddy and The Watsons Go to Birmingham  1963. The latter was adapted for a TV movie of the same name, which aired on the Hallmark Channel in 2013.",https://en.wikipedia.org/wiki/Christopher_Paul_Curtis,Black/African-American
24,Mufaro's Beautiful Daughters: An African Tale (Hardcover),John Steptoe,"John Steptoe (September 14, 1950- August 28, 1989) was an author and illustrator for children's books dealing with aspects of the African-American experience. He is best known for Mufaro's Beautiful Daughters, which was acknowledged by literary critics as a breakthrough in African history and culture.",https://en.wikipedia.org/wiki/John_Steptoe,Other
25,Pink and Say (Hardcover),Patricia Polacco,"Patricia Barber Polacco (born July 11, 1944, Lansing, Michigan) is an American author and illustrator. Throughout her school years, Polacco struggled with reading but found relief by expressing herself through art. Polacco endured teasing and hid her disability until a school teacher recognized that she could not read and began to help her. Her book Thank You, Mr. Falker is Polacco's retelling of this encounter and its outcome. She also wrote such books as Mr. Lincoln's Way and The Lemonade Club.",https://en.wikipedia.org/wiki/Patricia_Polacco,East Asian
26,My Name Is Yoon (Hardcover),Helen Recorvits,"Helen Recorvits: No information available.
",No URL available,South Asian
27,"The Breadwinner (The Breadwinner, #1)",Deborah Ellis,"Deborah Ellis  (born August 7, 1960) is a Canadian author and activist.",https://en.wikipedia.org/wiki/Deborah_Ellis,Native American
28,The Rough-Face Girl (Paperback),Rafe Martin,Rafe Martin: No Information Available,No URL available,South Asian
29,Sold (Hardcover),Patricia McCormick,"Patricia McCormick (author) (born 1956), American journalist and writer of realistic fiction for young adults
",https://en.wikipedia.org/wiki/Patricia_McCormick_(author),East Asian
30,Kira-Kira (Paperback),Cynthia Kadohata,"Cynthia Kadohata (born July 2, 1956) is a Japanese American children's writer best known for her young adult novel Kira-Kira which won the Newbery Medal in 2005. She won the National Book Award in Young People's Literature in 2013 for The Thing About Luck.",https://en.wikipedia.org/wiki/Cynthia_Kadohata,East Asian
